Source,Target,Weight
2714054,21386,1
11104039,248497,1
4228130,50144,1
22225624,70208,1
4068771,67627,1
11479246,312932,1
8267421,42365,1
11588978,715680,1
9916301,102588,1
10740652,658519,1
4605740,138296,1
5623610,23927,1
13469523,564993,1
24233238,1707686,1
4851441,183721,1
7759076,376625,1
23062506,1656648,1
9934875,140331,1
23693949,1671745,1
2589206,36298,1
6156363,193926,1
11140715,574889,1
9503051,449799,1
9194454,67518,1
22454972,882178,1
7926701,294942,1
1847113,10792,1
4051538,74547,1
2592465,32475,1
8036631,9556,1
6769561,273905,1
6049218,145505,1
23241056,1399641,1
8868925,80598,1
6675155,125562,1
1566382,36610,1
8072392,140447,1
10036529,536734,1
8898958,416448,1
3701661,114137,1
21559534,153637,1
4389985,178275,1
22602306,1248029,1
24666209,393695,1
23634499,1157587,1
7304516,236525,1
12638135,648768,1
11361182,759586,1
7897349,194172,1
12098630,757921,1
8186946,395337,1
22700585,1553159,1
12978516,137708,1
4224278,154332,1
6739433,294943,1
4444861,162909,1
4453377,113902,1
11106917,637826,1
7199298,288588,1
8259535,162680,1
10095770,436778,1
9889134,10844,1
2853988,93851,1
6690876,292076,1
11475436,791148,1
5919534,101853,1
24453924,767397,1
22625377,1514802,1
2633327,16257,1
2660956,33118,1
5148274,178368,1
2959452,84376,1
11058492,609629,1
11915825,861690,1
1914998,35474,1
24535088,1953312,1
22815677,1251878,1
23322590,642965,1
10096664,102508,1
8483480,245223,1
13000404,686855,1
9826620,536733,1
7621834,276765,1
8838261,70354,1
10286520,83516,1
12159229,703716,1
4670711,177784,1
3606744,92115,1
5259926,121953,1
4929440,123988,1
3340945,60054,1
10431798,290135,1
12082993,438498,1
8838981,172767,1
24360879,1834686,1
10179164,174490,1
12468715,266045,1
8975215,207710,1
5198659,142567,1
12022774,839769,1
13503282,578390,1
5238665,206457,1
13937067,775026,1
22852537,1044719,1
8235453,275802,1
12059014,507289,1
8071066,240856,1
12246557,558216,1
12606141,840628,1
2999193,45041,1
11650779,445711,1
23413131,836144,1
11264347,445145,1
10649193,637271,1
7892590,363371,1
23586542,1554926,1
21714814,797482,1
6242285,157354,1
5774506,234956,1
23810366,728092,1
11155837,699579,1
22658486,1470684,1
1658645,34772,1
4441890,173639,1
2288226,8289,1
6784664,293088,1
10172243,554236,1
1399563,11723,1
8978570,277213,1
4903154,91613,1
9968607,311668,1
5841113,235441,1
7259350,297296,1
12821624,921406,1
12049064,269170,1
3234200,94233,1
6960652,30887,1
5696897,180116,1
1951886,36782,1
6951447,73507,1
22280947,1460001,1
8933985,75053,1
6740023,298652,1
7487454,102593,1
7791702,374360,1
4321251,98939,1
5161505,183052,1
4698009,194805,1
22336421,65150,1
12753433,715148,1
4222901,78941,1
21167481,258370,1
24530602,1805225,1
4384841,155303,1
12189287,875290,1
7215310,294942,1
5534910,235784,1
5672554,157354,1
2744253,9605,1
9330216,291729,1
6589194,289610,1
13067449,782897,1
8647530,180158,1
5288011,200505,1
13786366,391338,1
3929075,116914,1
12361354,558778,1
12711572,225737,1
5048171,74818,1
10451610,316653,1
3271103,87784,1
1999059,47277,1
3740082,122444,1
10338099,183020,1
4453411,51200,1
2373896,28447,1
1431233,20920,1
22355601,20194,1
4333493,165327,1
6918055,231766,1
10021429,530817,1
10660546,572306,1
2828917,20107,1
10830116,193926,1
6617484,263101,1
6144427,86373,1
23521300,161764,1
20772768,596290,1
10331899,526962,1
13716368,811094,1
3979282,140893,1
3575997,65987,1
5862458,244817,1
4810284,179504,1
11431470,584606,1
12948772,725890,1
8912790,457353,1
12333116,158467,1
3643363,133042,1
21062773,1227493,1
1863665,45041,1
8869803,449584,1
13835598,833895,1
9085640,410943,1
2884800,46064,1
4651504,99820,1
7724648,176000,1
8312733,383268,1
5756716,8289,1
4613040,173937,1
6248500,270675,1
22430851,1477176,1
3918359,73354,1
1181390,14333,1
4983902,35832,1
8989102,425444,1
9469117,403403,1
12935877,646665,1
8937078,211850,1
8435665,92890,1
8260376,362861,1
13231735,66747,1
21373731,765981,1
9589805,276857,1
9766789,545351,1
7863946,243839,1
5146386,172221,1
1693584,45452,1
9531297,479049,1
22993725,1119291,1
11741388,396144,1
5322394,222489,1
3503720,67144,1
8403598,33038,1
8160964,272477,1
4103577,109681,1
6413458,145505,1
11670004,484735,1
8986168,23572,1
5030921,75143,1
13294635,819614,1
10149196,528416,1
2376791,73469,1
2250036,66646,1
6866712,207988,1
4613006,3714,1
4396130,140223,1
6837879,89448,1
8919822,33134,1
9109582,39421,1
23729565,485055,1
24291457,284107,1
8703868,392215,1
1597524,38354,1
12269035,362416,1
9682783,365287,1
2214241,7242,1
6004332,211335,1
13419951,1030726,1
24164876,1306043,1
23589378,389099,1
2852880,67870,1
9753125,523572,1
3399001,86441,1
10804806,176503,1
13942192,655401,1
6023076,213971,1
22842363,1552953,1
12079964,745349,1
8095342,388235,1
10990368,119211,1
13662626,957244,1
6825057,140231,1
7656726,254946,1
21919650,792864,1
1156174,4108,1
3810344,44448,1
13735058,582152,1
11952234,575022,1
2773404,96858,1
5268998,155284,1
12620790,510440,1
10371529,143130,1
11960062,767809,1
9684297,448116,1
1758416,32149,1
7479810,198026,1
7637269,86665,1
11599624,392862,1
4384264,129689,1
22050975,1267278,1
6187813,170230,1
3345959,89753,1
12479839,750432,1
22430696,644638,1
23879074,1536684,1
11018325,290778,1
12916806,199045,1
10174548,408979,1
4610076,191067,1
22993984,946937,1
2929492,86079,1
10873441,548568,1
22694415,714696,1
