Source,Target,Weight
3771975,129574,1
4716879,269170,1
2868553,254946,1
2548351,230209,1
682564,42124,1
2898891,36871,1
619665,153098,1
5747302,153067,1
1424832,20215,1
1142837,294942,1
4020373,254946,1
2799569,176000,1
570083,11723,1
706339,44653,1
3875899,165336,1
1099971,36871,1
3457039,129574,1
3509082,294942,1
2664263,94233,1
824451,294923,1
4899697,254946,1
519067,12532,1
551465,9604,1
1391003,43106,1
6214635,176000,1
630833,45121,1
3367206,7225,1
4223429,143130,1
971951,45121,1
4876138,294943,1
585648,295740,1
753699,82966,1
6121124,295740,1
710958,7534,1
3103749,165336,1
4880134,294942,1
4886667,294942,1
540109,77707,1
632271,54850,1
1378944,36871,1
957866,19890,1
1257868,44653,1
616646,294942,1
706434,45121,1
3482750,416448,1
3343848,163090,1
3319241,51778,1
2610115,45121,1
1079118,129574,1
1068386,294942,1
493667,36871,1
1199267,8289,1
846409,11723,1
2861184,479349,1
3459403,154714,1
6649780,765094,1
4231659,416448,1
4866609,294942,1
4006453,245223,1
5356073,54850,1
2890426,254946,1
3427256,294942,1
3955839,45121,1
2482582,391372,1
1264751,6488,1
830469,416448,1
3974987,294942,1
3230432,416448,1
3441038,82966,1
2368316,42124,1
4600624,245223,1
4857477,20215,1
2351098,3714,1
1245192,416448,1
470483,20215,1
484354,154714,1
2474384,82966,1
789800,8289,1
2481305,153067,1
4121059,20215,1
2895672,77707,1
1028961,3714,1
742574,7225,1
621572,7225,1
2599651,294943,1
3832141,94233,1
2758330,36871,1
621937,294942,1
911590,42124,1
605571,7534,1
3934827,8289,1
516204,416448,1
469740,94233,1
633896,51778,1
525068,164602,1
1363801,22839,1
5466045,391372,1
3345847,294942,1
4769964,129574,1
1394087,8289,1
3928712,43106,1
3820378,294943,1
1054554,10575,1
4980592,294942,1
971897,8289,1
2789809,11723,1
4877212,118375,1
1287430,176000,1
3749199,416448,1
1206006,19890,1
2958549,8289,1
1480038,479349,1
1300388,54850,1
2413828,129574,1
554788,118375,1
2910386,77707,1
885062,7225,1
4967734,294942,1
2682769,294942,1
2448537,164602,1
1410095,42124,1
3467460,82966,1
734881,22839,1
841660,22839,1
2859371,82966,1
6297767,765094,1
5150390,3252,1
6971605,765094,1
1386024,54850,1
1502625,36871,1
798144,294942,1
585301,294942,1
3629735,416448,1
588939,19890,1
1458392,3714,1
3660262,118375,1
5322294,94233,1
4918541,294943,1
5583009,118375,1
3238395,143130,1
576288,118375,1
702920,51778,1
817072,36871,1
1396347,36871,1
690790,51778,1
1334932,7225,1
3277595,129574,1
2981111,129574,1
804023,294942,1
571718,295740,1
869104,77707,1
3114015,8289,1
3507077,54850,1
5003374,42124,1
1167920,22839,1
3305599,118375,1
480015,269170,1
886797,128133,1
2346921,36871,1
4079256,6488,1
2988715,51778,1
1470717,22839,1
579363,42124,1
721631,19890,1
1451778,36871,1
3746005,10844,1
538603,245223,1
702675,19890,1
1496950,165336,1
1351292,176000,1
5316749,94233,1
5025283,294942,1
738898,20215,1
4627422,294923,1
3737979,118375,1
792932,118375,1
3307228,45121,1
3346822,153098,1
5144863,416448,1
3772312,294943,1
1274869,294942,1
578102,294943,1
569083,6488,1
3699160,294943,1
1215137,145505,1
784108,45121,1
1345854,45121,1
3289548,77707,1
4536313,6488,1
1236369,36871,1
3026575,82966,1
603004,176000,1
1026777,77707,1
587662,6488,1
1299547,10575,1
6067384,94233,1
1456246,294942,1
1326325,22839,1
4290107,176000,1
1232057,11723,1
817907,20215,1
5606572,77707,1
3604668,294943,1
1232416,51778,1
1093553,176000,1
979745,128133,1
5620981,20215,1
1306189,294943,1
2341842,45121,1
3223066,54850,1
3385077,128133,1
718775,137583,1
1179716,9604,1
517043,129574,1
1148206,245223,1
799833,8289,1
3722242,254946,1
1363442,294943,1
2478365,12532,1
482430,10575,1
1434293,42124,1
960332,51778,1
512642,19890,1
1099342,7225,1
498555,20215,1
2581977,77707,1
749366,7534,1
1494330,129574,1
1418730,6488,1
1430004,143130,1
2874930,77707,1
4418826,479349,1
936789,9604,1
694080,294942,1
508835,11723,1
4122995,10575,1
1278161,51778,1
3758825,230209,1
1471942,8289,1
3932359,51778,1
605822,245223,1
2869830,45121,1
865088,153067,1
2729175,391372,1
1360773,3252,1
4374031,19890,1
754860,143130,1
902293,295740,1
812320,11723,1
3343459,294942,1
