Source,Target,Weight
16000.0,Alarm Clock Bakelike Red,620
15769.0,Recycling Bag Retrospot,600
14646.0,Mini Paint Set Vintage,576
14646.0,Dolly Girl Lunch Box,448
17306.0,Pack Of 12 London Tissues,432
16684.0,Set Of 60 I Love London Cake Cases,360
12931.0,Lunch Bag Alphabet Design,350
14607.0,Mirror Mosaic Votive Holder,324
16333.0,Traditional Wooden Skipping Rope,288
14646.0,Round Snack Boxes Set Of4 Woodland,240
13694.0,Set Of 60 I Love London Cake Cases,240
17450.0,Gin And Tonic Diet Metal Sign,240
14365.0,Jumbo Bag Vintage Doily,232
17596.0,Brocade Ring Purse,216
17428.0,Vintage Christmas Paper Gift Bag,200
16401.0,Popcorn Holder,200
14482.0,Popcorn Holder,200
15482.0,Popcorn Holder,200
15125.0,Assorted Colour Bird Ornament,160
15311.0,Garland Wooden Happy Easter,144
12415.0,Traditional Wooden Skipping Rope,144
13340.0,3 Piece Spaceboy Cookie Cutter Set,144
16029.0,Red Floral Feltcraft Shoulder Bag,144
16684.0,Egg Cup Milkmaid Heidi,144
13694.0,Madras Notebook Medium,120
12415.0,Pack Of 60 Pink Paisley Cake Cases,120
17450.0,First Aid Tin,114
17888.0,Dinosaur Keyrings Assorted,108
14156.0,Lunch Bag Dolly Girl Design,100
14646.0,Jumbo Bag Pink Vintage Paisley,100
15032.0,Jumbo Bag Baroque Black White,100
17677.0,Lunch Bag Vintage Doily,100
15311.0,Jumbo Shopper Vintage Red Paisley,100
17511.0,Popcorn Holder,100
15032.0,Jumbo Shopper Vintage Red Paisley,100
13098.0,Jumbo Bag Spaceboy Design,100
14646.0,5 Hook Hanger Red Magic Toadstool,96
14156.0,Hanging Jam Jar T-Light Holders,96
17511.0,Pack 3 Boxes Bird Panettone,96
14646.0,Pink Polkadot Plate,96
12451.0,Plasters In Tin Woodland Animals,96
14298.0,Feng Shui Pillar Candle,96
16210.0,Rocking Horse Red Christmas,96
13881.0,Set Of 20 Vintage Christmas Napkins,96
14646.0,Pack Of 20 Napkins Pantry Design,96
14045.0,Set/5 Red Retrospot Lid Glass Bowls,96
14646.0,Hand Warmer Bird Design,96
14548.0,Cream Hanging Heart T-Light Holder,96
12753.0,5 Hook Hanger Red Magic Toadstool,96
15061.0,Sleeping Cat Erasers,90
16260.0,Paper Chain Kit 50'S Christmas,80
16656.0,Bag 250g Swirly Marbles,72
16701.0,Potting Shed Tea Mug,72
15251.0,Vintage Red Enamel Trim Plate,72
17459.0,Bubblegum Ring Assorted,72
14156.0,Home Sweet Home Mug,72
12348.0,Ice Cream Sundae Lip Gloss,72
12744.0,Party Pizza Dish Red Retrospot,72
15306.0,Bubblegum Ring Assorted,72
15505.0,Green Polkadot Bowl,72
16389.0,T-Light Glass Fluted Antique,72
16395.0,Assorted Creepy Crawlies,72
16210.0,Set Of 4 Napkin Charms Crowns,64
12763.0,Set Of 72 Pink Heart Paper Doilies,60
17980.0,T-Light Glass Fluted Antique,60
15502.0,12 Coloured Party Balloons,60
15939.0,Paper Chain Kit Empire,60
14088.0,Recipe Box Pantry Yellow Design,60
16160.0,Mini Playing Cards Spaceboy,60
13162.0,Party Bunting,52
12481.0,Jumbo Bag Vintage Leaf,50
17669.0,Jumbo Bag Pears,50
16745.0,Charlotte Bag Vintage Alphabet,50
17244.0,Wrap 50'S Christmas,50
14085.0,Red Retrospot Wrap,50
15615.0,Lunch Bag Black Skull,50
13001.0,Party Bunting,50
15615.0,Jumbo Bag 50'S Christmas,50
13340.0,Recycling Bag Retrospot,50
14533.0,Box Of 24 Cocktail Parasols,50
14424.0,Set 6 School Milk Bottles In Crate,48
17800.0,12 Pencils Small Tube Skull,48
15601.0,Pink Heart Confetti In Tube,48
12678.0,Set Of 72 Pink Heart Paper Doilies,48
14298.0,Polkadot Pen,48
13694.0,Blue Polkadot Beaker,48
18139.0,60 Cake Cases Dolly Girl Design,48
15722.0,N0 Singing Metal Sign,48
17819.0,Regency Sugar Tongs,48
16133.0,Mini Jigsaw Bake A Cake,48
14112.0,Polkadot Pen,48
17644.0,Hanging Clear Mini Bottle,48
16122.0,Rattle Snake Eggs,48
16029.0,Light Garland Butterfiles Pink,48
12432.0,Kids Rain Mac Pink,48
12683.0,Set/10 Red Polkadot Party Candles,48
12473.0,Funky Diva Pen,48
13427.0,Hanging Mini Coloured Bottles,48
18097.0,Grow A Flytrap Or Sunflower In Tin,48
13692.0,Assorted Colours Silk Fan,48
13815.0,Folkart Star Christmas Decorations,48
13631.0,Red Kitchen Scales,48
14194.0,Multicolour Spring Flower Mug,48
16551.0,Pack Of 60 Spaceboy Cake Cases,48
17597.0,Red Metal Beach Spade,48
17084.0,Small Ceramic Top Storage Jar,48
13081.0,Gingerbread Man Cookie Cutter,48
14643.0,French Style Storage Jar Cafe,48
12433.0,Travel Card Wallet Retrospot,48
16076.0,Decoration Sitting Bunny,48
14156.0,Set/5 Red Retrospot Lid Glass Bowls,48
12378.0,Set/20 Red Retrospot Paper Napkins,48
15505.0,Green Goose Feather Christmas Tree,42
15671.0,Paper Chain Kit 50'S Christmas,40
15465.0,Paper Chain Kit Vintage Christmas,40
13327.0,Jumbo Bag Apples,40
15171.0,Paper Bunting Retrospot,40
13555.0,50'S Christmas Paper Gift Bag,40
17314.0,12 Coloured Party Balloons,40
13870.0,Paper Chain Kit 50'S Christmas,40
17867.0,Silver T-Light Setting,37
18094.0,Wooden Picture Frame White Finish,36
15679.0,Pens Assorted Funny Face,36
14414.0,French Lavender Scent Heart,36
17205.0,Card Birthday Cowboy,36
14586.0,Dinosaur Keyrings Assorted,36
12678.0,Set Of 6 Tea Time Baking Cases,36
14646.0,Jam Making Set With Jars,36
12645.0,Plasters In Tin Woodland Animals,36
13599.0,Small Pink Glass Sundae Dish,36
12524.0,Pens Assorted Funky Jeweled,36
13700.0,Pack Of 12 Dolly Girl Tissues,36
15061.0,Lunch Box I Love London,36
17629.0,Large Heart Measuring Spoons,36
17744.0,Heart T-Light Holder,36
16368.0,Brocade Ring Purse,36
16652.0,Slate Tile Natural Hanging,36
