Source,Target,Type
No Rating,Handbag,Directed
1 to 2,Tunic,Directed
4 to 5,Tank Top,Directed
3 to 4,Leggings,Directed
4 to 5,Wallet,Directed
4 to 5,Onesie,Directed
1 to 2,Jacket,Directed
4 to 5,Trousers,Directed
4 to 5,Jeans,Directed
No Rating,Loafers,Directed
4 to 5,Slippers,Directed
3 to 4,Bowtie,Directed
No Rating,Pajamas,Directed
4 to 5,Trench Coat,Directed
1 to 2,Handbag,Directed
No Rating,Poncho,Directed
3 to 4,Gloves,Directed
2 to 3,Trench Coat,Directed
4 to 5,Slippers,Directed
No Rating,Romper,Directed
No Rating,T-shirt,Directed
4 to 5,Gloves,Directed
4 to 5,Jeans,Directed
3 to 4,Flip-Flops,Directed
1 to 2,Tunic,Directed
3 to 4,Shorts,Directed
2 to 3,Blazer,Directed
2 to 3,Boots,Directed
4 to 5,Poncho,Directed
1 to 2,Belt,Directed
1 to 2,Tunic,Directed
3 to 4,Boots,Directed
3 to 4,Flip-Flops,Directed
4 to 5,Hoodie,Directed
4 to 5,Sweater,Directed
No Rating,Blouse,Directed
4 to 5,Swimsuit,Directed
No Rating,Kimono,Directed
1 to 2,Cardigan,Directed
No Rating,Socks,Directed
3 to 4,Pants,Directed
2 to 3,Pajamas,Directed
2 to 3,Scarf,Directed
1 to 2,Backpack,Directed
3 to 4,Dress,Directed
3 to 4,Boots,Directed
4 to 5,Camisole,Directed
3 to 4,Loafers,Directed
4 to 5,Bowtie,Directed
3 to 4,Poncho,Directed
2 to 3,Trousers,Directed
2 to 3,Blouse,Directed
No Rating,Sneakers,Directed
3 to 4,Leggings,Directed
2 to 3,Backpack,Directed
1 to 2,Tunic,Directed
1 to 2,Dress,Directed
1 to 2,Flannel Shirt,Directed
4 to 5,Tie,Directed
4 to 5,Backpack,Directed
3 to 4,Cardigan,Directed
1 to 2,Tunic,Directed
1 to 2,Jeans,Directed
2 to 3,Gloves,Directed
1 to 2,Camisole,Directed
3 to 4,Trousers,Directed
4 to 5,Trousers,Directed
1 to 2,Boots,Directed
1 to 2,Scarf,Directed
1 to 2,Polo Shirt,Directed
3 to 4,Sweater,Directed
1 to 2,Wallet,Directed
4 to 5,Boots,Directed
4 to 5,Umbrella,Directed
3 to 4,Tank Top,Directed
2 to 3,Camisole,Directed
2 to 3,Gloves,Directed
3 to 4,Loafers,Directed
1 to 2,Pajamas,Directed
2 to 3,Flannel Shirt,Directed
3 to 4,Leggings,Directed
4 to 5,Hat,Directed
3 to 4,Bowtie,Directed
3 to 4,Handbag,Directed
2 to 3,T-shirt,Directed
4 to 5,Jacket,Directed
1 to 2,Kimono,Directed
4 to 5,Jacket,Directed
No Rating,Socks,Directed
3 to 4,Sweater,Directed
2 to 3,Handbag,Directed
2 to 3,Pants,Directed
4 to 5,Scarf,Directed
3 to 4,Blouse,Directed
3 to 4,Hoodie,Directed
2 to 3,Hat,Directed
2 to 3,Slippers,Directed
2 to 3,Sun Hat,Directed
2 to 3,Scarf,Directed
1 to 2,Boots,Directed
No Rating,Trench Coat,Directed
2 to 3,Hoodie,Directed
2 to 3,Belt,Directed
No Rating,Camisole,Directed
4 to 5,Overalls,Directed
4 to 5,Blazer,Directed
3 to 4,Coat,Directed
3 to 4,Camisole,Directed
No Rating,Socks,Directed
1 to 2,Boots,Directed
4 to 5,Belt,Directed
1 to 2,Hat,Directed
1 to 2,Loafers,Directed
1 to 2,Boots,Directed
3 to 4,Blazer,Directed
2 to 3,Cardigan,Directed
3 to 4,Sunglasses,Directed
1 to 2,Bowtie,Directed
2 to 3,Handbag,Directed
2 to 3,Socks,Directed
4 to 5,Sneakers,Directed
3 to 4,Onesie,Directed
1 to 2,Hoodie,Directed
4 to 5,Swimsuit,Directed
2 to 3,Vest,Directed
2 to 3,Pajamas,Directed
3 to 4,Coat,Directed
1 to 2,Onesie,Directed
4 to 5,Bowtie,Directed
No Rating,Belt,Directed
4 to 5,Trench Coat,Directed
4 to 5,Flip-Flops,Directed
3 to 4,Poncho,Directed
1 to 2,Belt,Directed
1 to 2,Tunic,Directed
2 to 3,Pants,Directed
1 to 2,Onesie,Directed
No Rating,Jeans,Directed
1 to 2,Tunic,Directed
3 to 4,Pajamas,Directed
2 to 3,Belt,Directed
4 to 5,Hoodie,Directed
1 to 2,Tunic,Directed
3 to 4,Blazer,Directed
2 to 3,Loafers,Directed
2 to 3,Polo Shirt,Directed
1 to 2,Pants,Directed
2 to 3,Sun Hat,Directed
3 to 4,Camisole,Directed
1 to 2,Hat,Directed
4 to 5,Sandals,Directed
2 to 3,Pajamas,Directed
4 to 5,Overalls,Directed
3 to 4,Blazer,Directed
2 to 3,Overalls,Directed
4 to 5,Cardigan,Directed
3 to 4,Pajamas,Directed
2 to 3,Sun Hat,Directed
1 to 2,Loafers,Directed
2 to 3,Onesie,Directed
1 to 2,Jacket,Directed
4 to 5,Trousers,Directed
3 to 4,Blouse,Directed
4 to 5,Romper,Directed
1 to 2,Onesie,Directed
2 to 3,Socks,Directed
4 to 5,Pants,Directed
1 to 2,Socks,Directed
No Rating,T-shirt,Directed
3 to 4,T-shirt,Directed
1 to 2,Trench Coat,Directed
4 to 5,Camisole,Directed
2 to 3,Camisole,Directed
3 to 4,Swimsuit,Directed
1 to 2,Kimono,Directed
4 to 5,Vest,Directed
3 to 4,Tie,Directed
1 to 2,Vest,Directed
2 to 3,Poncho,Directed
2 to 3,Swimsuit,Directed
4 to 5,Pajamas,Directed
2 to 3,Kimono,Directed
1 to 2,Blazer,Directed
4 to 5,Backpack,Directed
1 to 2,Slippers,Directed
3 to 4,Jacket,Directed
3 to 4,Tie,Directed
2 to 3,Dress,Directed
3 to 4,Shorts,Directed
1 to 2,Pajamas,Directed
2 to 3,Sunglasses,Directed
4 to 5,Coat,Directed
4 to 5,Socks,Directed
2 to 3,Tunic,Directed
1 to 2,Belt,Directed
4 to 5,Sandals,Directed
4 to 5,Jumpsuit,Directed
3 to 4,Tunic,Directed
3 to 4,Camisole,Directed
No Rating,Raincoat,Directed
1 to 2,Trench Coat,Directed
2 to 3,Romper,Directed
2 to 3,Kimono,Directed
4 to 5,Handbag,Directed
4 to 5,Tank Top,Directed
1 to 2,Swimsuit,Directed
4 to 5,Tank Top,Directed
1 to 2,Sweater,Directed
4 to 5,Backpack,Directed
4 to 5,Pajamas,Directed
No Rating,Belt,Directed
1 to 2,Poncho,Directed
4 to 5,Boots,Directed
3 to 4,Boots,Directed
4 to 5,Onesie,Directed
