Id,Label,Type
No Rating,No Rating,Rating (No Rating)
0 to 1,0 to 1,Rating (0 to 1)
1 to 2,1 to 2,Rating (1 to 2)
2 to 3,2 to 3,Rating (2 to 3)
3 to 4,3 to 4,Rating (3 to 4)
4 to 5,4 to 5,Rating (4 to 5)
Handbag,Handbag,Item
Tunic,Tunic,Item
Tank Top,Tank Top,Item
Leggings,Leggings,Item
Wallet,Wallet,Item
Onesie,Onesie,Item
Jacket,Jacket,Item
Trousers,Trousers,Item
Jeans,Jeans,Item
Loafers,Loafers,Item
Slippers,Slippers,Item
Bowtie,Bowtie,Item
Pajamas,Pajamas,Item
Trench Coat,Trench Coat,Item
Poncho,Poncho,Item
Gloves,Gloves,Item
Romper,Romper,Item
T-shirt,T-shirt,Item
Flip-Flops,Flip-Flops,Item
Shorts,Shorts,Item
Blazer,Blazer,Item
Boots,Boots,Item
Belt,Belt,Item
Hoodie,Hoodie,Item
Sweater,Sweater,Item
Blouse,Blouse,Item
Swimsuit,Swimsuit,Item
Kimono,Kimono,Item
Cardigan,Cardigan,Item
Socks,Socks,Item
Pants,Pants,Item
Scarf,Scarf,Item
Backpack,Backpack,Item
Dress,Dress,Item
Camisole,Camisole,Item
Sneakers,Sneakers,Item
Flannel Shirt,Flannel Shirt,Item
Tie,Tie,Item
Polo Shirt,Polo Shirt,Item
Umbrella,Umbrella,Item
Hat,Hat,Item
Sun Hat,Sun Hat,Item
Overalls,Overalls,Item
Coat,Coat,Item
Sunglasses,Sunglasses,Item
Vest,Vest,Item
Sandals,Sandals,Item
Jumpsuit,Jumpsuit,Item
Raincoat,Raincoat,Item
Skirt,Skirt,Item
