Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Payment Method,Review Rating
4018,Handbag,4619.0,2/5/2023,Credit Card,No Rating
4115,Tunic,2456.0,7/11/2023,Credit Card,1 to 2
4019,Tank Top,2102.0,3/23/2023,Cash,4 to 5
4097,Leggings,3126.0,3/15/2023,Cash,3 to 4
3997,Wallet,3003.0,11/27/2022,Cash,4 to 5
4080,Onesie,2914.0,12/11/2022,Credit Card,4 to 5
4055,Jacket,2571.0,7/8/2023,Cash,1 to 2
3973,Trousers,2419.0,11/10/2022,Cash,4 to 5
4044,Jeans,4771.0,5/19/2023,Cash,4 to 5
4010,Loafers,4233.0,6/11/2023,Credit Card,No Rating
4108,Slippers,2356.0,3/19/2023,Credit Card,4 to 5
4067,Bowtie,4418.0,11/21/2022,Cash,3 to 4
4068,Pajamas,3728.0,12/9/2022,Credit Card,No Rating
4102,Trench Coat,2130.0,1/29/2023,Cash,4 to 5
4044,Handbag,2122.0,8/1/2023,Credit Card,1 to 2
4096,Poncho,2383.0,4/10/2023,Credit Card,No Rating
4017,Gloves,2895.0,7/17/2023,Credit Card,3 to 4
4001,Trench Coat,2952.0,6/13/2023,Cash,2 to 3
3976,Slippers,4069.0,6/18/2023,Credit Card,4 to 5
4103,Romper,4465.0,11/21/2022,Credit Card,No Rating
4081,T-shirt,2108.0,3/25/2023,Cash,No Rating
3986,Gloves,4298.0,4/5/2023,Cash,4 to 5
4108,Jeans,2814.0,2/11/2023,Credit Card,4 to 5
4109,Flip-Flops,4932.0,12/20/2022,Credit Card,3 to 4
4075,Tunic,4661.0,4/12/2023,Credit Card,1 to 2
4040,Shorts,4872.0,8/25/2023,Cash,3 to 4
4099,Blazer,4232.0,10/25/2022,Credit Card,2 to 3
3981,Boots,3718.0,9/10/2023,Credit Card,2 to 3
4070,Poncho,2902.0,8/4/2023,Cash,4 to 5
4002,Belt,3839.0,5/26/2023,Cash,1 to 2
4035,Tunic,4413.0,12/23/2022,Credit Card,1 to 2
4060,Boots,3139.0,1/26/2023,Credit Card,3 to 4
3974,Flip-Flops,2026.0,4/16/2023,Cash,3 to 4
4110,Hoodie,2653.0,10/11/2022,Credit Card,4 to 5
3984,Sweater,4859.0,12/19/2022,Cash,4 to 5
4109,Blouse,3731.0,3/2/2023,Credit Card,No Rating
4054,Swimsuit,3393.0,2/28/2023,Cash,4 to 5
4040,Kimono,3138.0,5/12/2023,Credit Card,No Rating
4083,Cardigan,2636.0,4/9/2023,Cash,1 to 2
4122,Socks,2881.0,2/22/2023,Credit Card,No Rating
3972,Pants,3378.0,5/6/2023,Cash,3 to 4
3980,Pajamas,2418.0,5/26/2023,Credit Card,2 to 3
4012,Scarf,2379.0,5/29/2023,Credit Card,2 to 3
