Source,Target,Weight
C_CND_000001,Ford,1
C_CND_000002,Dodge,1
C_CND_000003,Cadillac,1
C_CND_000004,Toyota,1
C_CND_000005,Acura,1
C_CND_000006,Mitsubishi,1
C_CND_000007,Toyota,1
C_CND_000008,Mitsubishi,1
C_CND_000009,Chevrolet,1
C_CND_000010,Ford,1
C_CND_000011,Acura,1
C_CND_000012,Nissan,1
C_CND_000013,Mercury,1
C_CND_000014,BMW,1
C_CND_000015,Chrysler,1
C_CND_000016,Subaru,1
C_CND_000017,Hyundai,1
C_CND_000018,Cadillac,1
C_CND_000019,Toyota,1
C_CND_000020,Honda,1
C_CND_000021,Toyota,1
C_CND_000022,Infiniti,1
C_CND_000023,Audi,1
C_CND_000024,Porsche,1
C_CND_000025,Volkswagen,1
C_CND_000026,Dodge,1
C_CND_000027,Buick,1
C_CND_000028,Chrysler,1
C_CND_000029,Chrysler,1
C_CND_000030,Saturn,1
C_CND_000031,Mitsubishi,1
C_CND_000032,Mercedes-B,1
C_CND_000033,Honda,1
C_CND_000034,Honda,1
C_CND_000035,Jaguar,1
C_CND_000036,Volvo,1
C_CND_000037,Mercury,1
C_CND_000038,Buick,1
C_CND_000039,Mitsubishi,1
C_CND_000040,Nissan,1
C_CND_000041,Chrysler,1
C_CND_000042,Volvo,1
C_CND_000043,Chevrolet,1
C_CND_000044,Mitsubishi,1
C_CND_000045,Pontiac,1
C_CND_000046,Mercedes-B,1
C_CND_000047,BMW,1
C_CND_000048,Acura,1
C_CND_000049,Nissan,1
C_CND_000050,Cadillac,1
C_CND_000051,Dodge,1
C_CND_000052,Audi,1
C_CND_000053,Mercury,1
C_CND_000054,Chevrolet,1
C_CND_000055,Acura,1
C_CND_000056,Saturn,1
C_CND_000057,Volvo,1
C_CND_000058,Mercury,1
C_CND_000059,Mercedes-B,1
C_CND_000060,Mercedes-B,1
C_CND_000061,Toyota,1
C_CND_000062,Mercedes-B,1
C_CND_000063,Mercedes-B,1
C_CND_000064,Audi,1
C_CND_000065,Dodge,1
C_CND_000066,Buick,1
C_CND_000067,Dodge,1
C_CND_000068,Toyota,1
C_CND_000069,Volvo,1
C_CND_000070,Mitsubishi,1
C_CND_000071,Cadillac,1
C_CND_000072,Jaguar,1
C_CND_000073,Mitsubishi,1
C_CND_000074,Ford,1
C_CND_000075,Volkswagen,1
C_CND_000076,Mitsubishi,1
C_CND_000077,Lincoln,1
C_CND_000078,Ford,1
C_CND_000079,Audi,1
C_CND_000080,Acura,1
C_CND_000081,Nissan,1
C_CND_000082,Ford,1
C_CND_000083,Oldsmobile,1
C_CND_000084,Chevrolet,1
C_CND_000085,Chevrolet,1
C_CND_000086,Volkswagen,1
C_CND_000087,Dodge,1
C_CND_000088,Chrysler,1
C_CND_000089,BMW,1
C_CND_000090,Oldsmobile,1
C_CND_000091,Nissan,1
C_CND_000092,Dodge,1
C_CND_000093,Chrysler,1
C_CND_000094,Chrysler,1
C_CND_000095,Volvo,1
C_CND_000096,Nissan,1
C_CND_000097,Chrysler,1
C_CND_000098,Honda,1
C_CND_000099,Nissan,1
C_CND_000100,Dodge,1
C_CND_000101,Lexus,1
C_CND_000102,BMW,1
C_CND_000103,Toyota,1
C_CND_000104,Mercedes-B,1
C_CND_000105,Ford,1
C_CND_000106,Nissan,1
C_CND_000107,Volvo,1
C_CND_000108,Chevrolet,1
C_CND_000109,Mercury,1
C_CND_000110,Chevrolet,1
C_CND_000111,Subaru,1
C_CND_000112,Buick,1
C_CND_000113,Ford,1
C_CND_000114,Chevrolet,1
C_CND_000115,Audi,1
C_CND_000116,Ford,1
C_CND_000117,Mitsubishi,1
C_CND_000118,Lexus,1
C_CND_000119,Mercedes-B,1
C_CND_000120,Chrysler,1
C_CND_000121,Chrysler,1
C_CND_000122,Chevrolet,1
C_CND_000123,Cadillac,1
C_CND_000124,Saturn,1
C_CND_000125,Hyundai,1
C_CND_000126,Mercury,1
C_CND_000127,Mercedes-B,1
C_CND_000128,Volvo,1
C_CND_000129,Chevrolet,1
C_CND_000130,Jaguar,1
C_CND_000131,Acura,1
C_CND_000132,BMW,1
C_CND_000133,Plymouth,1
C_CND_000134,Nissan,1
C_CND_000135,Chrysler,1
C_CND_000136,Mercury,1
C_CND_000137,Lexus,1
C_CND_000138,Dodge,1
C_CND_000139,Nissan,1
C_CND_000140,Dodge,1
C_CND_000141,Chevrolet,1
C_CND_000142,Acura,1
C_CND_000143,Honda,1
C_CND_000144,Oldsmobile,1
C_CND_000145,Acura,1
C_CND_000146,Ford,1
C_CND_000147,Oldsmobile,1
C_CND_000148,Saab,1
C_CND_000149,Honda,1
C_CND_000150,BMW,1
C_CND_000151,Oldsmobile,1
C_CND_000152,Lexus,1
C_CND_000153,Cadillac,1
C_CND_000154,Volkswagen,1
C_CND_000155,Pontiac,1
C_CND_000156,Chevrolet,1
C_CND_000157,Oldsmobile,1
C_CND_000158,Ford,1
C_CND_000159,Mitsubishi,1
C_CND_000160,Ford,1
C_CND_000161,Mercedes-B,1
C_CND_000162,Ford,1
C_CND_000163,Volkswagen,1
C_CND_000164,BMW,1
C_CND_000165,Subaru,1
C_CND_000166,Plymouth,1
C_CND_000167,Volkswagen,1
C_CND_000168,Dodge,1
C_CND_000169,Hyundai,1
C_CND_000170,Saturn,1
C_CND_000171,Lincoln,1
C_CND_000172,Chevrolet,1
C_CND_000173,Nissan,1
C_CND_000174,Toyota,1
C_CND_000175,Mercury,1
C_CND_000176,Jaguar,1
C_CND_000177,Mercedes-B,1
C_CND_000178,Volkswagen,1
C_CND_000179,Buick,1
C_CND_000180,Mercedes-B,1
C_CND_000181,Toyota,1
C_CND_000182,Volvo,1
C_CND_000183,Nissan,1
C_CND_000184,Toyota,1
C_CND_000185,Saturn,1
C_CND_000186,Mitsubishi,1
C_CND_000187,Lexus,1
C_CND_000188,Porsche,1
C_CND_000189,Dodge,1
C_CND_000190,Oldsmobile,1
C_CND_000191,Audi,1
C_CND_000192,Oldsmobile,1
C_CND_000193,Mercedes-B,1
C_CND_000194,Mitsubishi,1
C_CND_000195,BMW,1
C_CND_000196,Chevrolet,1
C_CND_000197,Chrysler,1
C_CND_000198,Ford,1
C_CND_000199,Dodge,1
C_CND_000200,Jaguar,1
C_CND_000201,Mercedes-B,1
C_CND_000202,Mercedes-B,1
C_CND_000203,Pontiac,1
C_CND_000204,Saturn,1
C_CND_000205,Saturn,1
C_CND_000206,Mercury,1
C_CND_000207,Toyota,1
C_CND_000208,Nissan,1
C_CND_000209,Oldsmobile,1
C_CND_000210,Volkswagen,1
C_CND_000211,Volkswagen,1
C_CND_000212,Nissan,1
C_CND_000213,Ford,1
C_CND_000214,Volkswagen,1
C_CND_000215,Volvo,1
C_CND_000216,Mercury,1
C_CND_000217,Nissan,1
C_CND_000218,Acura,1
C_CND_000219,Mitsubishi,1
C_CND_000220,BMW,1
C_CND_000221,BMW,1
C_CND_000222,Ford,1
C_CND_000223,Nissan,1
C_CND_000224,Honda,1
C_CND_000225,Toyota,1
C_CND_000226,Cadillac,1
C_CND_000227,Lexus,1
C_CND_000228,Volvo,1
C_CND_000229,Lincoln,1
